Stress,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,blinkSpeed,blinkStrength,walking,roll,pitch,yaw,accX,accY,accZ
4.8525,0.020833333,0.025,0.0425,0.050833333,3.558333333,2.914166667,0.0325,-4.312425,51.352625,182.7303833,0.883229167,9.47828125,-9.670208333
1.4163,0.032445923,0.03577371,0.032445923,0.029118136,3.519134775,2.261231281,0,-19.00695507,20.17994176,200.5280948,4.860388935,3.056364393,-14.81775166
1.3568,0.02754591,0.031719533,0.034223706,0.032554257,2.487479132,1.494991653,0,-8.649265442,22.19649416,192.3287646,2.022902755,3.751460768,-15.25662563
2.3252,0.005,0.013333333,0.01,0.009166667,0.708333333,0.511666667,0,-6.389608333,48.26415,243.7786333,1.37921875,9.093333333,-10.760625
1.7441,0.038333333,0.053333333,0.0525,0.04,3.525,1.865,0,-17.8373,4.934108333,127.6707083,4.5625,-0.800520833,-15.16296875
4.3999,0.010842369,0.018348624,0.007506255,0.00500417,3.41117598,2.786488741,0,-19.32959967,72.1605588,331.1692077,5.150229358,13.57605296,-6.604879066
4.1191,0.02,0.016666667,0.038333333,0.031666667,5.241666667,3.514166667,0,23.45888333,-1.346133333,44.56586667,-6.891145833,-2.680989583,-14.29552083
1.0512,0.005,0.014166667,0.021666667,0.020833333,2.933333333,1.768333333,0,-20.67923333,7.021225,58.99326667,5.123645833,-0.40515625,-14.68166667
1.2325,0.030859049,0.051709758,0.049207673,0.035863219,2.285237698,1.164303586,0,-8.707239366,22.21806505,255.0495997,2.208611343,3.483788574,-14.52793995
1.4688,0.0025,0.0075,0.004166667,0.0075,7.133333333,4.895,0,11.69563333,-3.455683333,129.08035,-3.662135417,-3.348177083,-15.24572917
1.178,0.018333333,0.026666667,0.028333333,0.025,5.216666667,3.783333333,0,-0.746808333,-8.563166667,164.87525,-0.214479167,-4.3734375,-14.96270833
1.4702,0.0075,0.02,0.019166667,0.013333333,1.3,0.94,0,-0.426316667,4.224816667,258.5305167,-0.207083333,-1.077604167,-15.77927083
3.1068,0.0075,0.009166667,0.015833333,0.018333333,1.983333333,1.021666667,0,-6.542816667,5.865041667,40.25101667,1.544479167,-0.609791667,-15.81421875
1.3485,0.01,0.019166667,0.023333333,0.0225,1.816666667,1.249166667,0,1.482375,3.231025,232.1248667,-0.811979167,-1.512083333,-15.86427083
1.3848,0.025854879,0.029190992,0.028356964,0.030025021,2.610508757,1.734778982,8.34E-04,-12.19858215,38.41663887,125.5957465,2.971695163,6.425145955,-11.3646789
1.5153,0.020868114,0.022537563,0.055926544,0.045075125,1.736227045,0.955759599,0,-10.4583389,36.279399,131.2585726,2.35840985,6.789805927,-12.81265651
0.8716,0.005833333,0.009166667,0.0075,0.0075,1.15,0.7075,0,-11.817525,30.39808333,86.72303333,2.5503125,5.502552083,-14.71588542
1.6157,0.015,0.038333333,0.008333333,0.014166667,1.6,0.764166667,0,-7.277666667,6.598891667,118.226675,1.679322917,-0.30296875,-15.75057292
2.664,0.030833333,0.0625,0.0675,0.091666667,4.233333333,2.674166667,0.016666667,-6.44605,30.9594,239.6805417,1.450416667,5.854270833,-14.02854167
1.8162,0.031666667,0.0575,0.086666667,0.075833333,2.958333333,1.7725,0,-7.658508333,19.50944167,60.95766667,1.977135417,3.0971875,-14.74859375
1.3052,0.0125,0.023333333,0.043333333,0.04,5.216666667,3.1875,0,-14.08686667,29.54119167,274.3459917,3.53265625,5.483229167,-14.278125
0.8611,0.01,0.0125,0.011666667,0.011666667,1.425,0.935,0,-11.5699,30.38075,85.91058333,2.581302083,5.54703125,-14.68145833
2.4895,0.001666667,0.005,0.014166667,0.018333333,3.516666667,2.345833333,0,-2.495441667,54.03525833,204.810425,0.5115625,11.3778125,-11.00734375
1.7513,0.006666667,0.0075,0.068333333,0.065833333,3.975,3.2625,0,-1.431358333,14.221275,204.7073583,0.182239583,1.472291667,-15.90911458
0.7076,0.005,0.014166667,0.009166667,0.010833333,3.058333333,1.795833333,0,-7.495291667,26.4604,46.46036667,1.727916667,4.812708333,-15.13822917
1.1026,0.00500417,0.009174312,0.019182652,0.020850709,1.40116764,0.82735613,0,-2.460809008,9.710692244,53.35668057,0.380942452,0.479879066,-15.89235822
1.7519,0.013333333,0.013333333,0.020833333,0.0175,3.091666667,1.8075,0,17.02433333,16.67895833,183.344675,-5.175,2.3659375,-14.86869792
4.5274,0.041631973,0.039966694,0.10990841,0.108243131,5.795170691,3.616153206,0.085761865,-3.529841799,18.10691091,177.0739217,0.899614904,2.639050791,-15.22569734
1.2199,0.0125,0.015,0.015833333,0.008333333,0.766666667,0.4375,0,0.536075,32.69988333,145.3897667,-0.86625,6.76921875,-14.28333333
1.3692,0.020833333,0.041666667,0.019166667,0.020833333,5.433333333,3.280833333,0,10.3348,2.12485,198.1962083,-3.229583333,-1.6315625,-15.08953125
